topology,N,RMSE,R
ER,50,0.02539853051092538,
ER,100,0.02116765588594291,
ER,200,0.020429085185218743,
WS,50,0.025614653033625433,
WS,100,0.021091518379781515,
WS,200,0.02372085349822372,
BA,50,0.02726098103002261,
BA,100,0.03496659500765117,
BA,200,0.02099175182380291,
Lattice,50,0.025389724613048222,
Lattice,100,0.02136613990055273,
Lattice,200,0.019363224373491826,
Lattice_convergence,200,0.1375130873452798,1.0
Lattice_convergence,200,0.060049193988813726,2.0
Lattice_convergence,200,0.03170163989636246,3.0
Lattice_convergence,200,0.02272153574944688,5.0
Lattice_convergence,200,0.019363224373491826,8.0
